location_id,name,latitude,longitude,observations_total,description
019edd20-c974-7dfe-9787-9e3f32c16c18,DOV070 (Otley 2000: E 500650 / N 5205900 [AGD66 UTM Z55]),-43.298083,147.009399,0,
019ec5ca-9c7d-7ec4-ab75-b6ee95856445,DOV070 Dover Rivulet Huon Highway,-43.2976765,147.0103537,2,
019edd20-ca79-7904-8a14-ff49953851b8,DOV090 (Otley 2000: E 500850 / N 5204975 [AGD66 UTM Z55]),-43.306412,147.011866,0,
019edd20-cae3-78b2-9220-dcc48f31a36b,DOV100 (Otley 2000: E 500900 / N 5204550 [AGD66 UTM Z55]),-43.310239,147.012484,0,
019edd20-ca7b-7470-b743-cf6885df840b,DOV110 (Otley 2000: E 501325 / N 5204450 [AGD66 UTM Z55]),-43.311139,147.017724,0,
019ec5c0-7ea6-7e65-b786-0439fb02a024,DOV110 Dover Rivulet South Gate Market,-43.3105898,147.0170049,3,
019edd20-ca9f-7e25-9983-75102d1c4991,DOV120 (Otley 2000: E 501620 / N 5204100 [AGD66 UTM Z55]),-43.31429,147.021363,0,
019edd20-cb36-731c-ae70-b50510c57185,DOV130 (Otley 2000: E 501750 / N 5203950 [AGD66 UTM Z55]),-43.31564,147.022967,0,
019ec5bb-b999-7cef-919c-4589f22998a1,DOV130 Dover Rivulet Lagoon Kent Beach Rd,-43.3155877,147.0230454,2,
f5ff31ef-9aac-4c4a-92cb-993cb3b19406,Dover Rivulet Lower Lagoon,-43.3158,147.02321,9,
3d374a55-1f74-4eef-ae17-2627a1ecb4a3,Dover Rivulet Mouth,-43.31622,147.02357,46,
019edd20-cc50-7d2d-80c4-bc8f41fcd87f,ESP001 (Otley 2000: E 484300 / N 5213200 [AGD66 UTM Z55]),-43.232188,146.808036,0,
019edd20-cbf2-7653-b5f8-d1d32bc2a11c,ESP002 (Otley 2000: E 495400 / N 5202800 [AGD66 UTM Z55]),-43.325985,146.944649,0,
019ec5dc-10f0-7cc0-a687-192ac165ba8e,ESP050 Esperance River Conservation Area (maybe ESP010),-43.298965,146.9134378,2,
019ec5d9-6fd2-72dc-9bc1-35074ae3001b,ESP100 Esperance River Cableway Above Dover Water Intake,-43.334185,146.9657096,2,
019edd20-ccb7-7564-a0af-2dd20f980548,FLU100 (Otley 2000: E 499450 / N 5226450 [AGD66 UTM Z55]),-43.113035,146.994621,0,
019edd20-cc6d-7b58-9816-7351cf87f255,FOU100 (Otley 2000: E 507600 / N 5240800 [AGD66 UTM Z55]),-42.983774,147.094596,0,
019edd20-cd2f-727b-87ee-9ef5b858f780,FOU150 (Otley 2000: E 506650 / N 5240950 [AGD66 UTM Z55]),-42.982432,147.082942,0,
019edd20-cdb7-7c88-bdab-daa5a929bdba,FOU200 (Otley 2000: E 505550 / N 5241050 [AGD66 UTM Z55]),-42.98154,147.06945,0,
019edd20-ce34-718b-a302-8f6bfb8806e8,GDR100 (Otley 2000: E 512500 / N 5219800 [AGD66 UTM Z55]),-43.172813,147.155173,0,
019edd20-cdf6-7f6e-9c6d-b5f3b16cf717,GDR150 (Otley 2000: E 509100 / N 5218900 [AGD66 UTM Z55]),-43.180966,147.113357,0,
019edd20-ceaf-75ec-822a-7e1bf3b5411c,GDR200 (Otley 2000: E 508500 / N 5218500 [AGD66 UTM Z55]),-43.184575,147.105981,0,
019edd20-cf2f-7680-a0e0-cce13f6abda3,GVC115 (Otley 2000: E 505925 / N 5221775 [AGD66 UTM Z55]),-43.155109,147.074258,0,
019ef742-d38e-7448-836b-3579657f8e7e,Glenbervie Rivulet,-43.31235,147.04628,2,
019edd20-cfc5-7457-8eb2-4beba9e0b3a6,HOL100 (Otley 2000: E 509600 / N 5218600 [AGD66 UTM Z55]),-43.183661,147.119515,0,
019edd20-d02e-7f93-a565-8dc64956676e,HUO140 (Otley 2000: E 494100 / N 5239100 [AGD66 UTM Z55]),-42.999099,146.928995,0,
019edd20-d001-72e7-85fc-4334b57bf9a7,HUO150 (Otley 2000: E 495312 / N 5237550 [AGD66 UTM Z55]),-43.013066,146.943851,0,
019edd20-d055-746a-b571-09adbad77f88,HUO200 (Otley 2000: E 496525 / N 5236475 [AGD66 UTM Z55]),-43.022752,146.95873,0,
019edd20-d08e-747c-8f32-9205ce383b9c,HUO240 (Otley 2000: E 496600 / N 5236325 [AGD66 UTM Z55]),-43.024104,146.95965,0,
019edd20-d18d-7664-830a-0bf32877c84c,JUD020 (Otley 2000: E 497050 / N 5246400 [AGD66 UTM Z55]),-42.933378,146.965224,0,
019edd20-d1c8-72e1-b655-7f573912a29b,JUD025 (Otley 2000: E 496000 / N 5242950 [AGD66 UTM Z55]),-42.964442,146.952332,0,
019edd20-d190-708d-b854-2a894847bd72,JUD070 (Otley 2000: E 495250 / N 5241450 [AGD66 UTM Z55]),-42.977945,146.943123,0,
019edd20-d1f0-7dd9-9d94-8984b63f9505,JUD100 (Otley 2000: E 495950 / N 5242400 [AGD66 UTM Z55]),-42.969394,146.951715,0,
